"Niche_Pair","n_ST","n_VT","mean_delta_ST","sd_delta_ST","mean_delta_VT","sd_delta_VT","p_wilcox_full","q_wilcox_full","sig_wilcox_full","p_wilcox_all","q_wilcox_all","sig_wilcox_all","beta_lme_full","p_lme_full","q_lme_full","sig_lme_full","beta_lme_all","p_lme_all","q_lme_all","sig_lme_all"
"LLL_LRL",9,12,0.237789964503379,0.364662301296755,0.0723753735180866,0.437687479187111,0.270662995348826,0.405994493023239,"ns",0.54437014585661,0.718945720909571,"ns",-0.165414590985293,0.345360397918649,0.58402302139821,"ns",-0.0310905217330512,0.860513526231056,0.996825419425112,"ns"
"LLL_T",9,12,0.310860852697483,0.289500893272079,0.0882845140840745,0.408762279889495,0.145151837402052,0.362879593505129,"ns",0.340778613562954,0.567964355938257,"ns",-0.222576338613408,0.158964707376742,0.553573763377472,"ns",-0.117780907366996,0.475392587155195,0.996825419425112,"ns"
"LLL_TS",9,12,0.211242627077777,0.410995875271521,0.149051816737453,0.331627174281383,0.749119133000595,0.749119133000595,"ns",0.930987446559567,0.99748654988525,"ns",-0.0621908103403245,0.690401903462848,0.941457141085701,"ns",0.0712230864166154,0.66495492144912,0.996825419425112,"ns"
"LLL_Tube",9,12,0.0366421921040556,0.41106982013325,0.0696987391321268,0.432424265117946,0.695894823170777,0.745601596254404,"ns",0.575156576727657,0.718945720909571,"ns",0.0330565470280703,0.854176506370993,0.947026629390516,"ns",0.0391149317357705,0.818707516160497,0.996825419425112,"ns"
"LLL_URL",9,12,0.308068741057199,0.394499158597659,0.113285026741771,0.486440573765928,0.0596633812504026,0.22373767968901,"ns",0.174853306893293,0.431073892078308,"ns",-0.194783714315427,0.313841539021036,0.58402302139821,"ns",-0.0435358165829456,0.821854162906164,0.996825419425112,"ns"
"LRL_T",9,12,0.205097933914446,0.294588953378409,0.124792059658181,0.42374124100883,0.644128016047219,0.745601596254404,"ns",1,1,"ns",-0.0803058742562643,0.614817015128427,0.922225522692641,"ns",-0.0549295330393362,0.690962484115501,0.996825419425112,"ns"
"LRL_TS",9,12,0.0772922395887156,0.36513224718671,0.216265457640101,0.33305964927628,0.213620730309052,0.405994493023239,"ns",0.20116781630321,0.431073892078308,"ns",0.138973218051386,0.350413812838926,0.58402302139821,"ns",0.140429693003067,0.264306292844619,0.731422113603809,"ns"
"LRL_Tube",9,12,-0.176908515725225,0.392397914045296,0.0935461652568095,0.344459845788832,0.094797792496546,0.284393377489638,"ns",0.144904419667884,0.431073892078308,"ns",0.270454680982033,0.0921718012200683,0.460859006100342,"ns",0.242631237825745,0.0985586858009596,0.492793429004798,"ns"
"LRL_URL",9,12,0.19260630283383,0.343344693391275,0.172103023032973,0.437891953257782,0.270662995348826,0.405994493023239,"ns",0.164384047588013,0.431073892078308,"ns",-0.0205032798008564,0.904089759974134,0.947026629390516,"ns",-0.00968594024768987,0.948192898587907,0.996825419425112,"ns"
"TS_Tube",9,12,-0.254765152789037,0.31544154919563,0.111710303987102,0.247902282791769,0.0116128747301636,0.174193120952453,"ns",0.0377005888045408,0.39599030235476,"ns",0.36647545677614,0.00495587772066417,0.0743381658099626,"ns",0.320255776221861,0.00827743103893798,0.12416146558407,"ns"
"TS_URL",9,12,0.127836484411089,0.362228638444532,0.139451703509981,0.444464552622605,0.695894823170777,0.745601596254404,"ns",0.451344701707084,0.677017052560625,"ns",0.0116152190988921,0.947026629390516,0.947026629390516,"ns",-0.000607282489677998,0.996825419425112,0.996825419425112,"ns"
"T_TS",9,12,0.216619711949588,0.284270641198522,0.0375907955177712,0.373347547368008,0.24095466870157,0.405994493023239,"ns",0.264827710046756,0.496551956337668,"ns",-0.179028916431816,0.221429505350989,0.553573763377472,"ns",-0.131591026313555,0.292568845441524,0.731422113603809,"ns"
"T_Tube",9,12,-0.314365563652047,0.350787207347912,-0.00900957326597642,0.325335666280141,0.0596633812504027,0.22373767968901,"ns",0.0842218962486531,0.421109481243265,"ns",0.30535599038607,0.0420641294186482,0.315480970639862,"ns",0.209921117394767,0.0690097243507921,0.492793429004798,"ns"
"T_URL",9,12,0.109663906702918,0.324887936215854,0.0924830483945579,0.537649136989519,0.545797970609214,0.744269959921656,"ns",0.816735158202661,0.942386721003071,"ns",-0.0171808583083604,0.92992047324078,0.947026629390516,"ns",0.0116891490679404,0.945518564765351,0.996825419425112,"ns"
"Tube_URL",9,12,-0.119808015936444,0.378491494687244,0.108955259671492,0.454469529533747,0.0596633812504027,0.22373767968901,"ns",0.0527987069806347,0.39599030235476,"ns",0.228763275607935,0.212472636218358,0.553573763377472,"ns",0.216871744302056,0.219187623259419,0.731422113603809,"ns"
